affiliations,age,birthday,blood_type,bounty,devil_fruit_name,devil_fruit_type,height,name,occupations,origin,status,weight
Marines,,June 8th,,,,,,Lacroix,Vice Admiral,,Alive,
Wano Country,,,,,Barrier-Barrier Fruit,Paramecia,,Kurozumi Semimaru,Biwa hōshi,,Deceased,
Wano Country,,September 23rd,XF,,"Snake-Snake Fruit, Model: Eight Headed Serpent",Mythical Zoan,"350 cm (11'6"")",Kurozumi Orochi,Shogun,Grand Line (,Deceased,
Kurozumi Family,,July 21st,X,,Brush-Brush Fruit,Paramecia,"347 cm (11'5"")",Kurozumi Kanjuro,Theatre Performer (former);,Grand Line,Deceased,
Blackbeard Pirates,47 (debut),September 21st,F,,Ice-Ice Fruit (Funimation),Logia,"298 cm (9'9¼"")",Kuzan,Pirate,South Blue,Alive,
,,,,,,,,Blackbeard,Doctor,,Unknown,
Bliking Pirates,28 (debut),January 26th,F,,,,"186 cm (6'1"")",Kuromarimo,Magistrate,Grand Line,Alive,
Wano Country,,,,,Clone-Clone Fruit,Paramecia,,Kurozumi Higurashi,,,Deceased,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
Arlong Pirates,36 (debut),October 25th,S,,,,"252 cm (8'3"")",Kuroobi,Pirate,Grand Line,Alive,
Kurokoma Family‎,,,,,,,,Kurokoma,,,Unknown,
Black Cat Pirates,33 (debut),April 22nd,X,,,,207 cm (6’9”),Kuro,Pirate,,Alive,
Sakura Kingdom,139 (debut),September 8th,S,,,,"188 cm (6'2"")",Kureha,Head-,Grand Line,Alive,
Beasts Pirates,,,,,,,,Kunyun,,,Alive,
Kumadori,,,,,,,,Kumadori Yamanbako,Assassin (former),,Alive,
Kyoshiro Family,,,,,,,,Kuni,,,Alive,
Thriller Bark Pirates,,September 4th,,,,,,Kumacy,"Perona's servant,",,Deceased,
,,,,,,,,Kumagoro,,,Alive,
,,,,,,,,Kuma-A,Pet,,Alive,
,,September 17th,S,,,,"150 cm (4'11"")",Kuina,Trainee ,East Blue,Deceased,
Kozuki Family,,January 19th,X,,Time-Time Ability (VIZ);,Paramecia,"190 cm (6'3"")",Kozuki Toki,,,Deceased,
CP9,34 (debut),February 20th,XF,,,,"338 cm  (11'1"")",Kumadori,Cipher Pol,South Blue,Alive,
Krieg Pirates,42 (debut),September 19th,XF,,,,"243 cm (8'0"")",Krieg,Pirate,,Alive,
Kozuki Family,,February 22nd,F,,,,"382 cm (12'6"")",Kozuki Oden,Samurai,Grand Line,Deceased,
Kozuki Family,26,December 23rd,XF,,,,"170 cm (5'7"")",Kozuki Hiyori,Oiran,Grand Line,Alive,
Kozuki Family,81,May 19th,F,,,,"214 cm (7'0"")",Kozuki Sukiyaki,Swordsmith;,,Alive,
Spade Pirates,,,,,,,,Kukai,Pirate,,Alive,
Arabasta Kingdom,20 (debut),May 26,X,,,,"177 cm (5'10"")",Koza,Environmental Minister;,Grand Line,Alive,
Yes Pirates,,May 27th (Koze),,,,,,Koze,Pirates,,Alive,
Kozuki Family,,,,,,,,Koyama,,,Unknown,
Kozuki Family,8,October 7th,X,,"Fish-Fish Fruit, Model Azure Dragon",Artificial,"110 cm (3'7"") (child body)",Kozuki Momonosuke (Viz); Kouzuki Momonosuke (,Shogun,Grand Line,Alive,
,40 (debut),May 4th,S,,,,"184 cm (6'0½"")",Koshiro,Dojo Master,East Blue,Alive,
,,,,,,,,Kotetsu,Swordsmith,,Deceased,
Franky Family,,,,,,,,Kopp,"Dismantler, ",,Alive,
Spade Pirates,,,,,,,,Kotatsu,Pirate,,Alive,
World Government,,May 9th,,,,,,Kong,Commander-in-Chief; ,,Alive,
,,,,,,,,Kombu (Viz);,,,Alive,
Lulusia Kingdom,,,,,,,,Comane,Princess,,Unknown,
Tama,,,,,,,,Komachiyo,,,Alive,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
Tom's Workers,70 (debut),October 5th,S,,,,"168 cm (5'6"")",Kokoro,Stationmaster;,Grand Line,Alive,
Marines,16 (debut),May 13th,F,,,,"167 cm (5'6"")","Koby (VIZ, Odex),",Marine Captain,East Blue,Unknown,
Revolutionary Army,11 (debut);,October 25th,F,,,,"160 cm (5'3"")",Koala,Revolutionary Army ,,Alive,
,,,,,,,,Kobei,Landlord,,Alive,
Franky Family,"19 (Mozu, debut); 21 (Mozu, after timeskip)",January 7th (Mozu); September 1st (Kiwi),F,,,,"187 cm (6'1"")",Mozu and Kiwi,Bartenders;,Grand Line,Alive,
,,,,,,,,Kitton,,,Alive,
,,,,,,,,N/A,,,Alive,
Marines,,,,,,,,Koda,Chef,,Alive,
,,,,,,,,Kisegawa,Geisha,,Alive,
Animals of the ,,,,,,,,N/A,,,Alive,
Caesar Clown,,,,,,,,Kirintauros,,,Alive,
Whitebeard Pirates,Over 30,,,,,,,Kinga,Pirate,,Alive,
Buggy Pirates,,,,,,,,Mushroom,"Prisoner (Former), ",,Alive,
Beasts Pirates,47,December 1st,S,,"Dragon-Dragon Fruit, Model: Pteranodon",Ancient Zoan,"613 cm (20'1"")",King,Pirate,Grand Line,Alive,
Whitebeard Pirates,Over 30,November 13th,,,,,,Kingdew,11th Division ,Grand Line,Alive,
Big Mom Pirates,,July 13th,,,,,"2340 cm (76'9"")",Kingbaum,Master of the Seducing Woods,Grand Line,Unknown,
Kid Pirates,25 (debut),February 2nd,X,,,,"195 cm (6'5½"") (debut, after timeskip)",Killer,Pirate,South Blue,Alive,
Kozuki Family,36,January 29th,X,,Garb-Garb Jutsu (VIZ and Funimation);,Paramecia,"295 cm (9'8"")",Kin'emon,Samurai,Grand Line,Alive,
Evil Black Drum Kingdom,,January 20th,,,,,,Kinderella,Miss Universe; ,,Alive,
,,,,,,,,N/A,,,Alive,
Spade Pirates,,,,,,,,Kimel,Pirate,,Alive,
Kuja,,July 27th,,,,,,Kikyo,Kuja warrior,Calm Belt,Alive,
Kozuki Family,22,September 9th,XF,,,,"287 cm (9'5"")",Kikunojo,Samurai,Grand Line,Alive,
Kuja Tribe,,,,,,,,Kiku,Warrior,Calm Belt,Alive,
Blackbeard Pirates,,,,,,,,N/A,,,Alive,
Franky Family,,,,,,,,Kiev,"Dismantler, ",,Alive,
Foxy Pirates,,,,,,,,Kibagaeru,Pirate,,Alive,
Marines,,,,,,,,Kibin,Marine Commodore,,Alive,
Mogaro Kingdom,36,December 9th,X,,Jacket-Jacket Fruit,Paramecia,"168 cm (5'6"")",Kelly Funk,Assassin,Grand Line,Alive,
Kurozumi Family,,,,,,,,Kazenbo,,,Deceased,
Whitebeard Pirates,,,,,,,,Kechatch,Pirate,,Alive,
Kozuki Family,41,June 14th,F,,,,"271 cm (8'11"")",Kawamatsu,Retainer of the Kozuki Family; ,Grand Line,Alive,
Guardians,,,,,,,,N/A,,,Alive,
Beasts Pirates,43,February 28th,F,,,,"192 cm (6'3"")",Kazekage,Ninja,Wano Country,Alive,
,17 (debut),August 24th,F,,,,"169 cm (5'6"")",Kaya,Medical student,,Alive,
,,,,,,,,Katsuzo,,,Deceased,
Arabasta Kingdom,,,,,,,,Kebi,Rebel (former),,Alive,
World Government,154 (debut),April 1st,X,,,,"1700 cm (55'9"")",Kashii,Pirate,Grand Line,Alive,
Shandia,,November 4th,,,,,,Kashigami,,,Deceased,
Revolutionary Army,45 (debut),September 18th,S,,,,"265 cm (8'8"")",Karasu,North Army Commander of the Revolutionary Army,North Blue,Alive,
Takotopus Pirates,Over 30,June 6th,,,,,,Karma,Pirate,,Alive,
New Fish-Man Pirates,,,,,,,,Kasagon,Pirate,,Alive,
Raijin Island,,,,,,,,Kasa,,,Alive,
Arlong Pirates,,December 2nd,,,,,,Kaneshiro,Pirate,Grand Line,Alive,
Super Spot-Billed Duck Troops,14 (debut),November 8th,F,,,,"150 cm (4'11"")","Karoo (Viz, 4Kids, Funimation);",Pet,Grand Line,Alive,
,,,,,,,,Moneypenny,Farmer,,Alive,
,,,,,,,,Kappa,Shoeshiner,,Alive,
CP0,25 (debut),April 23rd,XF,,Bubble-Bubble Fruit,Paramecia,"185 cm (6'1"")",Kalifa,Cipher Pol,Grand Line,Alive,
,,,,,,,,N/A,Newspaper deliveryman,,Alive,
Beasts Pirates,,,,,,,,Kamijiro,,,Alive,
Shandia,,October 4th,X,,,,"222 cm (7'3"")",Kalgara,Warrior,Grand Line,Deceased,
Shandia,22 (debut),July 10th,F,,,,214 cm (7'),Kamakiri,Shandia,Sky Islands,Alive,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
,,,,,,,,Blockhead,,,Alive,
Kyoshiro Family,,,,,,,,Kaku,,,Alive,
CP0,23 (debut),August 7th,X,,Ox-Ox Fruit Giraffe Model,Zoan,"193 cm (6'4"")",Kaku,Cipher Pol,East Blue,Alive,
,,,,,,,,Spara Heetpack,Prisoner,,Unknown,
Sabaody Archipelago,,January 24th,,,,,,Kairiken,Bounty Hunter,,Alive,
Mermaid Cafe,,,,,,,,Kairen,Dancer,,Alive,
Beasts Pirates,59,May 1st,F,,"Fish-Fish Fruit, Model Azure Dragon",Mythical Zoan,"710 cm (23'3½"")",Kaido,Pirate,Grand Line,Unknown,
Krieg Pirates,,October 27th,,,,,,Keygan,Pirate,,Alive,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
Marines,,July 29th,,,,,,Kadar,Marine ,,Unknown,
Tontatta Kingdom,,July 1st,,,"Bug-Bug Fruit, Model: Rhinoceros beetle",Zoan,,Cub; Kabu (FUNimation (Ep 640-648)),Leader of Yellow Kabu Squad;,,Alive,
Criminal,,,,,,,,Junan,Cashier,,Alive,
Ally of the ,,,,,,,,Julius,Pirate,,Alive,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
Beasts Pirates,,,,,,,,Juki,,,Alive,
CP0,,,,,,,,N/A,Cipher Pol,,Alive,
,,,,,,,,Joyboy (VIZ Media);,,,,
World Government,,,,,,,,George,Judge,,Alive,
Whitebeard Pirates,40 (debut),November 11th,X,,Twinkle-Twinkle Fruit,Paramecia,"503 cm (16'6"")",Jozu,Pirate,West Blue,Alive,
Marie,,November 2nd,,,,,,Judi,,,Alive,
Giant Warrior Pirates,,December 4th,F,,,,"2150 cm (70'6"")",Jorul,Pirate Captain,Grand Line,Deceased,
Rocks Pirates,,,,,,,,John,General Zombie,,Deceased,
Yosaku,23 (debut),November 12th,F,,,,"186 cm (6'1"")",Johnny,Bounty Hunter,East Blue,Alive,
Marines,,May 19th,,,,,,John Giant,Vice Admiral,,Alive,
Ninja-Pirate-Mink-Samurai Alliance,,,,,,,,N/A,Prisoner (former),,Alive,
Thriller Bark Pirates,,February 21st,S,,,,"238 cm (7'10"")",Jigoro,General Zombie,West Blue,Deceased,
Underworld,,,,,,,,Jigra,Organ Trader,,Deceased,
Straw Hat Pirates,44 (debut),April 2nd,F,,,,"301 cm (9'10½"") (debut, after timeskip)",Jimbei,Pirate,Grand Line,Alive,
Beasts Pirates,,,,,,,,N/A,Samurai,,Alive,
,,,,,,,,Jobo,,,Alive,
,,,,,Mock Town,,,,,,,
Bonney Pirates,"22 (estimated, debut)",September 1st,F,,,,"174 cm (5'8½"") (debut, after timeskip)",Jewelry Bonney,Pirate Captain,South Blue,Alive,
Blackbeard Pirates,27 (debut),December 25th,F,,Strong-Strong Fruit,Paramecia,"355 cm (11'8"")","Jesus Burgess (Viz, uncut dub);",Pirate,Grand Line,Alive,
Beasts Pirates,21,October 18th,X,,,,"225 cm (7'4"")",Jigoku-Benten,Ninja,Wano Country,Alive,
CP6,44 (debut),February 22nd,XF,,,,"676 cm (22'2"")",Jerry,Cipher Pol,South Blue,Alive,
Ideo Pirates,,,,,,,,Jet; Jeet,Pirate,,Alive,
Kozuki Family,,,,,,,,Jibuemon,Retainer of the Kozuki Family; ,,Alive,
Marines,,,,,,,,Jero,,,Alive,
Levely,,,,,,,,N/A,King,,Alive,
,,September 24th,,,,,,Dez Tinny,Prisoner,,Alive,
Heart Pirates,,April 6th,,,,,,Jean Bart,Pirate,,Alive,
Five Elders,,,,,,,,Jaygarcia Saturn,Head of the ,,Alive,
,,August 14th,,,,,,Jean Ango,Bounty Hunter,,Alive,
Giant Warrior Pirates,345 (63 years ago),December 8th,F,,,,"2050 cm (67'3"")",Jarul,Pirate,Grand Line,Unknown,
Marines,27 (debut),December 28th,S,,,,207 cm (6’9½”),"Django (Viz, 4Kids, FUNimation subs);",Marine ,,Alive,
World Government,,November 9th,,,,,,Saint Jalmack,World Noble,,Alive,
Marines,105 (debut),March 6th,F,,,,1950 cm (64'),Jaguar D. Saul,Vice Admiral,South Blue,Alive,
,,,,,,,,Zombie,,,,
Beasts Pirates,,,,,,,,Jaki,,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Beasts Pirates,28,September 28th,F,,"Elephant-Elephant Fruit, Ancient Zoan Model: Mammoth (Funimation), Eleph-Eleph Fruit Ancient Zoan Model Mammoth",Ancient Zoan,"830 cm (27'3"")",Jack,Pirate,Grand Line,Alive,
Roger Pirates,,,,,,,,Jackson Burner,Pirate,,Unknown,
CP9,35 (debut),June 5th,S,,Mutt-Mutt Fruit Wolf Model,Zoan,"212 cm  (6'11½"")",Jabra,Cipher Pol,North Blue,Alive,
Marines,,,,,,,,Isuka,Ensign,,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Whitebeard Pirates,43 (debut),October 13th,X,,,,"192 cm (6'3¾"")",Izo,16th Division ,Grand Line,Deceased,
Foxy Pirates,,January 11th,,,,,,Itomimizu,Pirate,,Alive,
Marines,54,August 10th,S,,Press-Press Fruit,Paramecia,"270 cm (8'10"")",Issho,Admiral,Grand Line,Alive,
Whitebeard Pirates,,January 1st,,,,,,Islewan,Pirate,,Alive,
,,April 21st,,,,,"715 m (2345'9"")",Island Eater,,,Deceased,120 t
Mermaid Café,,May 4th,,,,,,Ishilly (Viz);,Dancer,,Alive,
,,,,,,,,Verree Finework,Appraiser,,Alive,
Loguetown Arms Shop,,December 1st,,,,,,Ippon Ume,Arms Shop Proprietress,,Alive,
Shandia,,,,,,,,Isa,,,Alive,
,,,,,,,,N/A,Firefighter,,Alive,
Loguetown Arms Shop,38 (debut),January 31st,X,,,,"157 cm (5'2"")",Matsu (Viz),Arms Shop Proprietor,East Blue,Alive,
Thriller Bark,,December 16th,,,,,,Dog Penguin,Wild Zombie,,Deceased,
,,,,,,,,N/A,Official,,Alive,
Kamabakka Kingdom,27 (debut),August 3rd,F,,Snip-Snip Fruit (VIZ and Funimation);,Paramecia,"228 cm (7'5"")",Inazuma,Revolutionary; Prisoner of the Great Prison (former),South Blue,Alive,
Beasts Pirates,,,,,,,,Inbi,,,Alive,
Tontatta Kingdom,,,,,,,,Inhel,Scout,,Alive,
Golden Lion Pirates,,December 5th,,,,,,Indigo,Pirate,,Alive,
World Government,,,,,,,,Imu,,,Alive,
Mokomo Dukedom,40,October 11th,X,,,,"511 cm (16'9"")",Dogstorm,Ruler of the Mokomo Dukedom (former);,Grand Line,Alive,
Ideo Pirates,22,October 10th,X,,,,"225 cm (7'5"")",Ideo,Captain of the Fourth Ship of the ,Grand Line,Alive,
,,,,,,,,N/A,Announcer,,Alive,
Arabasta,48 (debut),December 6,X,,,,"218 cm (7'1"")",Igaram,Captain of the Royal Guard;,Grand Line,Alive,
Heart Pirates,,December 7th,,,,,,Ikkaku,Pirate,,Alive,
New Fish-Man Pirates,30,January 13th,XF,,,,"499 cm (16'4"")",Ikaros Much,Pirate,Grand Line,Alive,
Galley-La Company,38 (debut),January 3rd,X,,,,"199 cm (6'6"")",Iceberg,President of the ,Grand Line,Alive,
Krieg Pirates,,March 17th,,,,,,Ideaman,Pirate,East Blue,Alive,
Neutral,,,,,,,,"Ichika, Nika, Sanka, Yonka, Yonka Two",,,Alive,
Doerena Kingdom,,,,,,,,Yves,Pirate,,Alive,
Beasts Pirates,,,,,,,,N/A,Waiter,,Alive,
New Fish-Man Pirates,39,April 18th,X,,,,"327 cm (10'9"")",Hyouzou,Mercenary,Grand Line,Alive,
Caesar Clown,,,,,,,,Hyoutauros,,,Alive,
,70,February 14,S,,,,"100 cm (3'3"")",Hyogoro,Prisoner (former);,,Alive,
Krieg Pirates,,July 28th,,,,,,Hustle,Pirate,,Alive,
Sabaody Archipelago,,,,,,,,Humphrey,Bartender,,Alive,
Spade Pirates,,,,,,,,Hublot,Pirate,,Alive,
Beasts Pirates,,,,,,,,Hotei,Samurai,,Alive,
God's Army,25 (debut),March 10th,S,,,,"179 cm (5'10"")",Hotori and Kotori,Lieutenants of the ,Sky Islands,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
,,,,,,,,N/A,Ship's Doctor,Lvneel Kingdom,Deceased,
Red Hair Pirates,,,,,,,,Hongo,Pirate,,Alive,
Mt. Atama Thieves,,,,,,,,N/A,,,Alive,
God's Army,,November 7th,,,,,,Holly (Viz); Holy (FUNimation),Pet,,Alive,
New Fish-Man Pirates,30,April 14th,F,,,,"331 cm (10'10"")","Hody Jones (Viz),",Pirate,Grand Line,Alive,
Beasts Pirates,30,August 21st,F,,Lion SMILE,Artificial Zoan,"312 cm (10'3"")",Holdem,Shinuchi,Wano Country,Alive,
Thriller Bark Pirates,45 (debut),December 19th,XF,,,,"223 cm (7'4"")",Hogback,Doctor,West Blue,Alive,
King Neptune,,September 13th,,,,,,Hoe,Neptune's transportation and pet,,Alive,
Auntie,12 (debut),July 18th,,,,,,Michael and Hoichael,,,Alive,
Chouchou,,May 17th,,,,,,Hocker,Pet Shop Owner,East Blue,Deceased,
Ohara Archaeologists,,,,,,,,Hocha,Archaeologist,,Deceased,
Red Hair Pirates,,,,,,,,Gabu,Pirate,,Alive,
Nefertari Family,,,,,,,,Hou (Viz),Doctor,,Alive,
,,,,,,,,N/A,Restaurant Owner,,Alive,
,,January 12th,F,,,,213 cm (7'),Hiriluk,Doctor,Grand Line,Deceased,
Thriller Bark Pirates,,,,,,,,Hippo Gallant (Viz); Gentleman Hippopotamus (Funimation Sub); Hippo Gentleman (Funimation Dub),Wild Zombie,,Deceased,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Marines,32 (debut),March 3rd,F,,Bind-Bind Fruit (,Paramecia,"181 cm (5'11"")",Hina,Rear Admiral,West Blue,Alive,
Mermaid Café,,,,,,,,Hiramela (Viz);,Dancer,,Alive,
Mokomo Dukedom,,,,,,,,Duke Genghis Baan,Ruler of Mokomo Dukedom (Former),,Unknown,
Thriller Bark Pirates,,,,,,,,Hildon,Wild Zombie,,Deceased,
Beasts Pirates,,,,,,,,Hihimaru,,,Alive,
Higuma Bandits,,November 18th,X,,,,"190 cm (6'3"")",Higuma,Bandit Leader,East Blue,Deceased,
Big Mom Pirates,,,,,,,,Hera,,,Unknown,
Kozuki Family,,,,,,,,N/A,Samurai,,Alive,
,49 (debut),May 10th,F,,,,"214 cm (7'0"")",Heracles,Warrior,South Blue,Alive,
Bellamy Pirates,,,,,,,,Hewitt,Pirate,,Unknown,
Shandia,,,,,,,,Herb,,,Deceased,
Marines,,,,,,,,Hibari,Commander,,Alive,
Marines,20 (debut),July 16th,S,,,,"179 cm (5'10"")",Helmeppo,Lieutenant Commander,,Alive,
Alvida Pirates,,September 2nd,,,,,,Heppoko,Pirate,,Alive,
CP9,,August 10th,,,,,,Hattori,Rob Lucci,,Alive,
Takoyaki 8,36 (debut),August 8th,S,,,,"220 cm (7'3"")",Hatchan,Takoyaki seller;,Grand Line,Alive,
Kid Pirates,,December 1st,,,,,,Heat,Pirate,South Blue,Alive,
Corrida Colosseum,,,,,,,,N/A,Gladiator,,Alive,
Beasts Pirates,188,October 8th,XF,,,,"6680 cm (219'2"")",Haccha,,Punk Hazard,Alive,
Whitebeard Pirates,,February 4th,,,,,,Haruta,12th Division ,South Blue,Alive,
Ukkari Hot-Spring Island,,,,,,,,"Pincers (VIZ, 4Kids, Funimation subs)",Ukkari Hot-Springs Resort Transportation,,Alive,
,,,,,,,,Victimothy Crucifixio,Pirate,,Unknown,
,95 (debut),October 14th,X,,,,"253 cm (8'4"")",Haredas,Scientist,Sky Islands,Alive,
,,,,,,,,N/A,,,Alive,
New Fish-Man Pirates,,,,,,,,Harisenbon,Pirate,,Alive,
Whitebeard Pirates,,,,,,,,N/A,Pirate,,Alive,
Beasts Pirates,42,August 3rd,F,,,,"544 cm (17'10"")",Hanzo,Ninja,Wano Country,Alive,
Impel Down,33 (debut),August 28th,S,,,,"309 cm (10'1"")",Hannyabal,Chief Warden;,South Blue,Alive,
,,,,,,,,Happa Yamao,Carpenter; Bandit (former),,Alive,
Robecca Hanberg,,September 23rd,,,,,,Hanger,Salesperson,,Alive,
,,,,,,,,Hanko,,,Alive,
Ally of the ,,,,,,,,Hangan,Pirate,,Alive,
Ninja-Pirate-Mink-Samurai Alliance,,,,,,,,N/A,Prisoner (former),,Alive,
,,,,,,,,N/A,,,Unknown,
New Fish-Man Pirates,,July 17th,,,,,,Hammond,Pirate,,Alive,
Beasts Pirates,,,,,Giraffe ,Artificial Zoan,,Hamlet,Shinuchi,,Alive,
Foxy Pirates,,February 22nd,,,,,,Hamburg,Pirate,,Alive,
,,July 20th,,,,,,Ham Burger,King,,Alive,
Heart Pirates,,,,,,,,Hakugan,Helmsman,,Alive,
Wapol,,,,,,,,Boxer,Pet,,Alive,
New Giant Warrior Pirates,81,August 12th,XF,,,,"2200 cm (72'2"")",Hajrudin,Captain of the Sixth Ship of the ,Grand Line,Alive,
Ohara Archaeologists,,,,,,,,Huck,Archaeologist,,Deceased,
Revolutionary Army,38,August 9th,F,,,,"280 cm (9'2"")",Hack,Fish-Man Karate,Grand Line,Alive,
,,March 7th,,,,,,Gyoll,Fishmonger,,Alive,
Gyro Pirates,,June 22nd,,,,,,Gyro,Pirate,,Alive,
CP0,,,,,,,,Guernica,Cipher Pol,,Unknown,
Ohara Archaeologists,,,,,,,,Gram,Archaeologist,,Deceased,
Fire Tank Pirates,33,May 21st,S,,,,"375 cm (12'4"")",Gotti,Pirate,West Blue,Alive,
Macro Pirates,,,,,,,,Gyaro,Pirate,,Alive,
Ally of the ,,,,,,,,Great Michael,Pirate,,Alive,
Tontatta Kingdom,,,,,,,,Grabba,,,Alive,
,,,,,,,,Gorobei,,,Unknown,
Ukkari Hot-Spring Island,,November 26th,,,,,,Goro,Onsen manager,,Alive,
Chimney,,February 8th,,,,,,Gonbe,,,Alive,
Beasts Pirates,,,,,,,,Gorishiro,,,Alive,
Marines,,May 18th,,,,,,Gorilla,Marine Captain,,Alive,
Pirate crew,,,,,,,,Goo,Pirate,,Alive,
New Giant Warrior Pirates,63,May 11th,,,,,,Goldberg,Cook,,Alive,
Franky Family,,August 6th,,,,,,"Gomora (VIZ),",Transportation,,Alive,
Goldfish Empire,,,,,,,,Goldfish Princess,Princess,,Alive,
,,,,,,,"1100 cm (36'1"")",Going Merry (Uncut dub),,,Destroyed,
Roger Pirates,,December 31st,S,,,,"274 cm (9'0"")",Gol D. Roger,Pirate Captain,East Blue,Deceased,
Enel,,,,,,,,Gode,Clergyman,,Unknown,
Beasts Pirates,,,,,,,,Goki,,,Alive,
CP0,,,,,,,,N/A,Cipher Pol,,Alive,
Marines,,,,,,,,Gion,Vice Admiral,,Alive,
Marines,,,,,,,,N/A,Marine; ,,Alive,
Kuja,,February 4th,,,,,,Gloriosa,Empress,,Alive,
Mokomo Dukedom,30,July 20th,S,,,,"226 cm (7'5"")",Giovanni,Three Inuarashi Musketeers,Grand Line,Alive,
Donquixote Pirates,33,August 6th,XF,,Pop-Pop Fruit,Paramecia,"260 cm (8'6"")",Gladius,Pirate,North Blue,Alive,
,,,,,,,,N/A,Samurai,,Alive,
,,,,,,,,Gimlet,,,Deceased,
Beasts Pirates,,January 23rd,,,SMILE,Artificial ,,Ginrummy,Shinuchi,,Unknown,
Punk Hazard,,,,,,,,N/A,,,Alive,
,,,,,,,,N/A,Student,,Alive,
Foxy Pirates,,,,,,,,Gina,Shipwright,,Alive,
Krieg Pirates,25 (debut),April 7th,S,,,,"186 cm (6'1"")",Gin (Viz);,Pirate,,Unknown,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Underworld,,August 14th,,,,,,Giberson,Warehouseman,,Alive,
New Giant Warrior Pirates,75,February 25th,S,,,,"1700 cm (55'9"")",Gerd,Pirate,Grand Line,Alive,
Donquixote Pirates,61,January 25th,S,,Art-Art Fruit,Paramecia,"221 cm (7'3"")",Giolla,Pirate,North Blue,Alive,
Cocoyasi Village,46 (debut),June 17th,F,,,,"173 cm (5'8"")",Genzo,Sheriff,East Blue,Alive,
,,,,,Impel Down,,,,,,,
Foxy Pirates,,,,,,,,George Mach,Pirate,,Alive,
,,,,,,,,N/A,,,Alive,
Shandia,23 (debut),February 9th,S,,,,"193 cm (6'4"")",Genbou,Shandia,Sky Islands,Alive,
Thriller Bark Pirates,48 (debut),September 6th,X,,Shadow-Shadow Fruit,Paramecia,"692 cm (22'8½"") (debut, after timeskip)",Gecko Moria,Pirate,West Blue,Alive,
Spade Pirates,,,,,,,,Ganryu,Pirate,,Alive,
Roger Pirates,,,,,,,,Ganryu,Pirate,,Unknown,
Beasts Pirates,,,,,Gazelle SMILE,Artificial Zoan,,Gazelle-Man,Gifter,,Alive,
New Spiders Cafe,24 (debut),July 26th,X,,"Bomb-Bomb Fruit (anime),",Paramecia,"197 cm (6'5"")",Gem,Cafe Employee,South Blue,Alive,
World Government,,,,,,,,Gatherine,Waitress,,Alive,
Corrida Colosseum,,August 26th,,,,,,Gyats,Announcer,,Alive,
Skypiea,66 (debut);,December 22nd,X,,,,"180 cm (5'11"")",Ganfor (VIZ; Funimation simulcast);,God,Grand Line,Alive,
Tontatta Kingdom,,,,,,,,Gancho,King,,Alive,
Ukkari Hot-Spring Island,29 (debut),August 10th ,S,,,,"220 cm (7'2"")","Gedatsu (Viz, Uncut dub); Gedatz (Edited dub)",Priest,Sky Islands,Alive,
Barto Club,,February 18th,,,,,,Gambia,Staff Officer,,Alive,
Gally Pirates,,,,,,,,"Jolly, Gary (VIZ Media);",Pirate Captain,,Alive,
,,,,,,,,Toad Boingnosuke,,,Alive,
Cross Guild,35 (debut),March 3rd,F,,Wax-Wax Fruit,Paramecia,"179 cm (5'10"")",Mr. 3,Pirate,South Blue,Alive,
Automata,,,,,,,,Galaxy,General,,Alive,
,43 (debut),August 5th,X,,,,"130 cm (4'3"")",Gaimon,Guardian of the Island of Rare Animals,East Blue,Alive,
Marines,,,,,,,,Gal,,,Alive,
CP0,,April 28th (Elephant Day),,,"Elephant-Elephant Fruit (Funimation dub, Viz)",Zoan,,"Funkfreed (FUNimation, Viz manga);",Spandam,,Alive,
,,,,,,,,Berry,,,,
Unknown rebel group,,,,,,,,Gobble;,Revolutionist Commander,,Deceased,
God's Army,,February 3rd,,,,,,Fuza,Battle Pet,,Alive,
Marines,26 (debut),September 7th,F,,,,"184 cm (6'0"")",Fullbody,Marine ,North Blue,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Kurozumi Family,61,March 29th,X,,,,"221 cm (7'3"")",Fukurokuju,Ninja,Wano Country,Unknown,
CP9,29 (debut),June 29th,S,,,,"331 cm (10'10¼"")",Fukurô (Viz); Fukurou (FUNimation) (former),Cipher Pol,Grand Line,Alive,
,,,,,,,,N/A,,,Deceased,
Neptune Family,24,February 4th,S,,,,604 cm (19’10”),Fukaboshi,Prince,Grand Line,Alive,
Straw Hat Pirates,34 (debut),March 9th,XF,,,,"225 cm (7'4½"") (debut)",Franky,Shipwright,South Blue,Alive,
,,,,,,,,Fugetsu Omusubi,Samurai,,Deceased,
Beasts Pirates,45,February 4th,X,,,,"200 cm (6'7"")",Fujin,Ninja,Wano Country,Alive,
Beasts Pirates,,,,,Horse ,Artificial Zoan,,Fuga,,,Alive,
